0,-0.579834,-0.595093,-0.582886,-0.592041,-0.570679,-0.579834,-0.598145,-0.595093,-0.592041
5.00E-05,-0.588989,-0.592041,-0.604248,-0.582886,-0.592041,-0.579834,-0.585938,-0.576782,-0.604248
1.00E-04,-0.592041,-0.588989,-0.592041,-0.588989,-0.579834,-0.57373,-0.598145,-0.582886,-0.588989
1.50E-04,-0.579834,-0.601196,-0.588989,-0.582886,-0.595093,-0.582886,-0.592041,-0.579834,-0.601196
2.00E-04,-0.601196,-0.585938,-0.588989,-0.595093,-0.576782,-0.592041,-0.588989,-0.576782,-0.576782
2.50E-04,-0.579834,-0.582886,-0.601196,-0.582886,-0.582886,-0.579834,-0.601196,-0.595093,-0.598145
3.00E-04,-0.588989,-0.570679,-0.604248,-0.585938,-0.582886,-0.592041,-0.582886,-0.582886,-0.595093
3.50E-04,-0.582886,-0.592041,-0.588989,-0.595093,-0.579834,-0.579834,-0.588989,-0.604248,-0.598145
4.00E-04,-0.585938,-0.588989,-0.598145,-0.588989,-0.592041,-0.576782,-0.582886,-0.585938,-0.604248
4.50E-04,-0.585938,-0.588989,-0.585938,-0.601196,-0.592041,-0.585938,-0.595093,-0.595093,-0.592041
5.00E-04,-0.582886,-0.595093,-0.604248,-0.579834,-0.601196,-0.576782,-0.592041,-0.588989,-0.604248
5.50E-04,-0.592041,-0.585938,-0.598145,-0.592041,-0.585938,-0.592041,-0.579834,-0.585938,-0.585938
6.00E-04,-0.567627,-0.592041,-0.598145,-0.57373,-0.595093,-0.570679,-0.595093,-0.588989,-0.604248
6.50E-04,-0.582886,-0.576782,-0.592041,-0.585938,-0.579834,-0.582886,-0.582886,-0.582886,-0.595093
7.00E-04,-0.570679,-0.598145,-0.588989,-0.592041,-0.588989,-0.57373,-0.595093,-0.588989,-0.592041
7.50E-04,-0.579834,-0.570679,-0.604248,-0.582886,-0.592041,-0.579834,-0.592041,-0.576782,-0.592041
8.00E-04,-0.582886,-0.588989,-0.588989,-0.585938,-0.582886,-0.576782,-0.6073,-0.585938,-0.585938
8.50E-04,-0.579834,-0.598145,-0.604248,-0.57373,-0.595093,-0.57373,-0.588989,-0.582886,-0.592041
9.00E-04,-0.582886,-0.585938,-0.601196,-0.588989,-0.582886,-0.576782,-0.592041,-0.592041,-0.582886
