0,-1278.08,-1290.28,-1313.48,-1310.42,-1307.37,-1304.32,-1301.27
5.00E-05,-1282.35,-1296.39,-1308.59,-1305.54,-1304.32,-1304.93,-1296.39
1.00E-04,-1278.69,-1287.84,-1303.71,-1304.93,-1302.49,-1303.1,-1309.81
1.50E-04,-1277.47,-1287.23,-1307.98,-1302.49,-1302.49,-1301.88,-1306.76
2.00E-04,-1277.47,-1295.17,-1306.76,-1310.42,-1304.93,-1303.71,-1300.05
2.50E-04,-1276.86,-1282.35,-1304.93,-1309.81,-1308.59,-1304.32,-1309.2
3.00E-04,-1287.84,-1292.72,-1304.93,-1303.1,-1309.2,-1298.83,-1301.88
3.50E-04,-1275.63,-1287.84,-1302.49,-1308.59,-1300.05,-1303.1,-1309.81
4.00E-04,-1282.35,-1293.33,-1296.39,-1300.05,-1309.81,-1304.32,-1297.61
4.50E-04,-1291.5,-1297,-1306.15,-1304.32,-1305.54,-1303.71,-1301.27
5.00E-04,-1276.86,-1293.33,-1312.26,-1299.44,-1305.54,-1301.27,-1306.76
5.50E-04,-1276.86,-1293.95,-1310.42,-1304.93,-1303.71,-1299.44,-1300.66
6.00E-04,-1275.02,-1289.06,-1303.71,-1303.71,-1310.42,-1303.1,-1301.27
6.50E-04,-1286.62,-1298.83,-1303.71,-1307.37,-1308.59,-1300.66,-1314.7
7.00E-04,-1284.18,-1290.28,-1306.15,-1306.15,-1306.76,-1309.81,-1301.27
7.50E-04,-1274.41,-1297,-1309.2,-1297.61,-1304.93,-1300.66,-1304.93
8.00E-04,-1276.25,-1294.56,-1303.1,-1304.32,-1307.98,-1305.54,-1311.65
8.50E-04,-1278.08,-1292.11,-1298.22,-1312.87,-1306.76,-1304.93,-1306.15
9.00E-04,-1279.91,-1299.44,-1301.88,-1300.66,-1318.36,-1303.1,-1307.98
9.50E-04,-1281.74,-1293.33,-1309.81,-1301.27,-1306.76,-1298.83,-1296.39
0.001,-1280.52,-1286.62,-1307.37,-1301.27,-1301.27,-1306.76,-1312.26
0.00105,-1270.14,-1295.78,-1301.27,-1304.93,-1302.49,-1305.54,-1298.83
0.0011,-1276.86,-1290.28,-1305.54,-1297.61,-1307.98,-1303.1,-1306.15
0.00115,-1275.63,-1290.28,-1309.81,-1306.76,-1308.59,-1293.33,-1310.42
0.0012,-1279.3,-1293.33,-1303.1,-1308.59,-1308.59,-1302.49,-1299.44
0.00125,-1280.52,-1295.78,-1307.98,-1298.22,-1306.15,-1301.27,-1305.54
0.0013,-1284.18,-1294.56,-1303.71,-1309.2,-1311.65,-1307.98,-1302.49
0.00135,-1281.13,-1294.56,-1307.98,-1303.1,-1316.53,-1303.71,-1309.81
0.0014,-1278.08,-1293.33,-1305.54,-1304.32,-1302.49,-1304.32,-1305.54
0.00145,-1270.14,-1301.88,-1303.1,-1307.37,-1311.04,-1302.49,-1312.26
0.0015,-1282.35,-1300.66,-1311.04,-1310.42,-1301.27,-1301.27,-1303.1
0.00155,-1287.84,-1286.62,-1306.15,-1306.76,-1301.88,-1304.93,-1308.59
0.0016,-1273.19,-1301.88,-1304.32,-1311.65,-1305.54,-1307.37,-1301.88
0.00165,-1278.69,-1291.5,-1299.44,-1301.88,-1304.93,-1305.54,-1303.1
0.0017,-1276.86,-1295.78,-1299.44,-1305.54,-1311.04,-1306.15,-1306.76
0.00175,-1276.25,-1293.95,-1318.36,-1307.98,-1307.37,-1298.22,-1306.15
0.0018,-1275.02,-1294.56,-1295.78,-1303.71,-1306.76,-1302.49,-1304.93
0.00185,-1278.69,-1287.84,-1304.32,-1297,-1298.83,-1300.05,-1304.32
0.0019,-1279.3,-1289.06,-1305.54,-1307.98,-1313.48,-1303.1,-1301.27
0.00195,-1278.69,-1288.45,-1309.2,-1308.59,-1318.36,-1300.05,-1306.15
0.002,-1283.57,-1287.84,-1312.87,-1313.48,-1312.87,-1301.88,-1297.61
0.00205,-1282.35,-1297,-1301.88,-1300.66,-1308.59,-1308.59,-1305.54
0.0021,-1283.57,-1297.61,-1302.49,-1300.66,-1311.04,-1300.66,-1306.15
0.00215,-1284.79,-1292.11,-1304.93,-1303.71,-1304.32,-1296.39,-1300.66
0.0022,-1284.79,-1287.84,-1304.32,-1298.83,-1309.2,-1309.81,-1303.71
0.00225,-1276.25,-1295.17,-1304.32,-1297.61,-1315.31,-1299.44,-1305.54
0.0023,-1287.84,-1296.39,-1311.04,-1301.27,-1300.66,-1300.66,-1307.98
0.00235,-1284.18,-1298.83,-1315.92,-1306.76,-1303.1,-1313.48,-1300.05
0.0024,-1275.63,-1292.11,-1307.98,-1309.81,-1304.32,-1298.22,-1303.1
0.00245,-1284.18,-1291.5,-1297.61,-1303.1,-1310.42,-1302.49,-1305.54
