0,-0.598145,-0.592041,-0.588989,-0.592041,-0.585938,-0.582886,-0.595093,-0.601196,-0.582886,-0.588989,-0.592041,-0.588989,-0.582886
5.00E-05,-0.595093,-0.595093,-0.567627,-0.579834,-0.595093,-0.6073,-0.585938,-0.576782,-0.579834,-0.585938,-0.592041,-0.592041,-0.588989
1.00E-04,-0.601196,-0.576782,-0.592041,-0.592041,-0.595093,-0.595093,-0.588989,-0.588989,-0.588989,-0.595093,-0.585938,-0.582886,-0.579834
1.50E-04,-0.582886,-0.585938,-0.567627,-0.582886,-0.588989,-0.592041,-0.585938,-0.579834,-0.588989,-0.585938,-0.582886,-0.601196,-0.564575
2.00E-04,-0.595093,-0.579834,-0.588989,-0.595093,-0.6073,-0.592041,-0.585938,-0.595093,-0.598145,-0.598145,-0.592041,-0.582886,-0.585938
2.50E-04,-0.585938,-0.582886,-0.576782,-0.585938,-0.598145,-0.592041,-0.588989,-0.595093,-0.588989,-0.585938,-0.576782,-0.595093,-0.57373
3.00E-04,-0.601196,-0.585938,-0.579834,-0.592041,-0.604248,-0.588989,-0.57373,-0.588989,-0.588989,-0.601196,-0.595093,-0.579834,-0.585938
3.50E-04,-0.576782,-0.570679,-0.582886,-0.585938,-0.592041,-0.579834,-0.588989,-0.601196,-0.585938,-0.598145,-0.592041,-0.598145,-0.579834
4.00E-04,-0.588989,-0.595093,-0.585938,-0.595093,-0.601196,-0.598145,-0.582886,-0.576782,-0.598145,-0.595093,-0.604248,-0.592041,-0.592041
4.50E-04,-0.604248,-0.576782,-0.601196,-0.595093,-0.601196,-0.585938,-0.592041,-0.588989,-0.595093,-0.595093,-0.601196,-0.582886,-0.588989
5.00E-04,-0.588989,-0.582886,-0.582886,-0.579834,-0.585938,-0.585938,-0.592041,-0.582886,-0.588989,-0.585938,-0.6073,-0.585938,-0.588989
5.50E-04,-0.601196,-0.57373,-0.598145,-0.595093,-0.601196,-0.595093,-0.585938,-0.588989,-0.6073,-0.595093,-0.604248,-0.576782,-0.601196
6.00E-04,-0.588989,-0.588989,-0.585938,-0.576782,-0.588989,-0.592041,-0.595093,-0.592041,-0.588989,-0.576782,-0.579834,-0.601196,-0.585938
6.50E-04,-0.604248,-0.585938,-0.588989,-0.592041,-0.588989,-0.592041,-0.579834,-0.585938,-0.595093,-0.595093,-0.604248,-0.595093,-0.598145
7.00E-04,-0.592041,-0.57373,-0.582886,-0.576782,-0.576782,-0.582886,-0.595093,-0.588989,-0.585938,-0.576782,-0.592041,-0.6073,-0.579834
7.50E-04,-0.598145,-0.588989,-0.588989,-0.576782,-0.598145,-0.595093,-0.579834,-0.576782,-0.595093,-0.582886,-0.601196,-0.592041,-0.595093
8.00E-04,-0.604248,-0.588989,-0.585938,-0.588989,-0.595093,-0.582886,-0.585938,-0.6073,-0.592041,-0.582886,-0.592041,-0.588989,-0.592041
