0,-1134.03,-1138.31,-1160.28,-1177.37,-1201.78,-1182.86,-1187.13,-1127.93
5.00E-05,-1140.14,-1128.54,-1158.45,-1181.03,-1208.5,-1169.43,-1187.74,-1119.38
1.00E-04,-1135.86,-1133.42,-1152.34,-1175.54,-1208.5,-1181.03,-1177.98,-1129.76
1.50E-04,-1130.98,-1129.76,-1160.28,-1171.26,-1204.22,-1173.71,-1191.41,-1132.2
2.00E-04,-1135.86,-1129.76,-1159.06,-1181.64,-1210.33,-1175.54,-1185.3,-1126.71
2.50E-04,-1135.86,-1126.1,-1152.34,-1177.98,-1215.21,-1184.69,-1188.35,-1129.76
3.00E-04,-1136.47,-1134.64,-1152.34,-1192.02,-1218.87,-1178.59,-1188.96,-1130.37
3.50E-04,-1129.15,-1130.37,-1156.01,-1187.74,-1212.77,-1176.76,-1181.03,-1125.49
4.00E-04,-1132.81,-1130.98,-1159.67,-1173.71,-1210.33,-1174.32,-1189.58,-1130.37
4.50E-04,-1127.93,-1126.71,-1148.68,-1172.49,-1209.72,-1176.15,-1176.15,-1129.76
5.00E-04,-1135.86,-1135.86,-1152.95,-1177.98,-1209.11,-1179.2,-1190.8,-1130.37
5.50E-04,-1138.31,-1132.81,-1149.9,-1176.76,-1216.43,-1176.76,-1187.13,-1131.59
6.00E-04,-1130.98,-1122.44,-1151.12,-1183.47,-1214.6,-1171.26,-1183.47,-1129.15
6.50E-04,-1137.7,-1129.76,-1152.34,-1174.93,-1215.82,-1176.76,-1188.35,-1124.27
7.00E-04,-1138.92,-1129.76,-1157.23,-1182.86,-1210.94,-1176.76,-1196.29,-1132.81
7.50E-04,-1130.37,-1118.16,-1157.23,-1181.03,-1214.6,-1177.37,-1184.69,-1130.98
8.00E-04,-1129.76,-1128.54,-1162.72,-1170.65,-1212.16,-1176.76,-1187.13,-1133.42
8.50E-04,-1135.86,-1127.93,-1150.51,-1177.98,-1217.65,-1174.32,-1182.86,-1129.15
9.00E-04,-1137.7,-1131.59,-1152.34,-1168.21,-1209.72,-1176.76,-1183.47,-1126.71
9.50E-04,-1134.03,-1136.47,-1144.41,-1181.64,-1195.07,-1170.04,-1184.08,-1129.76
0.001,-1129.76,-1131.59,-1155.4,-1176.76,-1213.38,-1177.98,-1181.64,-1126.1
0.00105,-1145.02,-1124.27,-1159.67,-1162.72,-1209.11,-1171.88,-1191.41,-1135.25
0.0011,-1130.98,-1123.66,-1150.51,-1173.71,-1218.26,-1171.26,-1194.46,-1128.54
0.00115,-1133.42,-1136.47,-1154.79,-1173.71,-1210.94,-1177.98,-1185.91,-1118.77
0.0012,-1137.7,-1129.15,-1154.17,-1171.26,-1212.16,-1182.86,-1192.63,-1129.15
0.00125,-1133.42,-1126.71,-1154.17,-1176.15,-1206.05,-1182.25,-1185.91,-1126.1
