0,-1015.01,-1007.08,-1019.9,-1017.46,-1014.4,-1015.01,-1014.4,-1019.29,-1022.34,-1026,-1035.16,-1032.1,-1030.88,-1023.56,-1029.05
5.00E-05,-1016.85,-1018.07,-1015.63,-1019.29,-1014.4,-1017.46,-1016.85,-1027.22,-1025.39,-1019.9,-1024.17,-1032.1,-1027.83,-1030.88,-1035.77
1.00E-04,-1020.51,-1018.07,-1020.51,-1018.68,-1005.86,-1019.9,-1017.46,-1033.94,-1027.22,-1027.22,-1023.56,-1031.49,-1021.12,-1026.61,-1032.1
1.50E-04,-1027.83,-1015.01,-1016.85,-1013.79,-1019.29,-1029.05,-1006.47,-1024.17,-1029.66,-1022.95,-1029.05,-1029.66,-1019.29,-1032.71,-1032.1
2.00E-04,-1018.07,-1014.4,-1017.46,-1015.63,-1013.79,-1013.18,-1025.39,-1020.51,-1017.46,-1026.61,-1022.34,-1029.66,-1021.73,-1031.49,-1029.05
2.50E-04,-1024.17,-1005.25,-1021.12,-1020.51,-1008.3,-1017.46,-1029.05,-1020.51,-1029.05,-1026.61,-1030.88,-1017.46,-1033.33,-1025.39,-1022.34
3.00E-04,-1007.08,-1011.96,-1024.17,-1026.61,-1011.96,-1027.22,-1024.17,-1019.29,-1025.39,-1020.51,-1027.22,-1023.56,-1021.73,-1026,-1028.44
3.50E-04,-1024.17,-1016.24,-1033.94,-1017.46,-1010.13,-1022.95,-1014.4,-1022.34,-1028.44,-1027.83,-1029.05,-1017.46,-1026,-1037.6,-1024.17
4.00E-04,-1017.46,-1021.12,-1021.12,-1017.46,-1022.95,-1026.61,-1021.12,-1022.95,-1018.68,-1025.39,-1035.77,-1033.94,-1023.56,-1024.17,-1032.71
4.50E-04,-1024.17,-1015.63,-1022.34,-1019.9,-1016.24,-1029.05,-1021.73,-1029.05,-1011.96,-1021.12,-1032.1,-1021.12,-1033.33,-1019.9,-1029.05
5.00E-04,-1028.44,-1015.01,-1018.68,-1025.39,-1014.4,-1018.07,-1023.56,-1024.17,-1016.24,-1030.27,-1035.16,-1021.12,-1030.88,-1033.94,-1026
5.50E-04,-1016.85,-1015.01,-1018.68,-1018.07,-1015.01,-1022.34,-1026,-1023.56,-1021.12,-1025.39,-1029.66,-1027.83,-1024.78,-1036.99,-1032.71
6.00E-04,-1010.74,-1016.24,-1019.9,-1013.79,-1018.68,-1026.61,-1026.61,-1026,-1026.61,-1026,-1033.94,-1027.83,-1038.21,-1027.22,-1033.33
6.50E-04,-1022.34,-1011.35,-1019.29,-1033.94,-1017.46,-1021.73,-1023.56,-1026,-1023.56,-1029.05,-1025.39,-1027.83,-1020.51,-1032.71,-1027.22
7.00E-04,-1027.22,-1015.63,-1016.24,-1024.17,-1015.63,-1017.46,-1028.44,-1031.49,-1018.68,-1024.78,-1027.83,-1020.51,-1031.49,-1028.44,-1033.33
7.50E-04,-1027.22,-1011.96,-1016.85,-1028.44,-1013.18,-1031.49,-1025.39,-1022.95,-1026.61,-1024.17,-1038.21,-1016.24,-1030.88,-1027.22,-1027.22
8.00E-04,-1026,-1013.18,-1018.68,-1015.63,-1016.24,-1016.24,-1018.07,-1020.51,-1024.78,-1033.94,-1029.05,-1022.34,-1037.6,-1027.83,-1026.61
